epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1440.03,1.1003,3.10394,0.02157,0.51547,0.55167,0.51169,0.24844,1.48805,1.90623,0.04469,0.000662252,0.000662252,0.000662252
2,1635.29,1.43318,1.76634,0.02859,0.72519,0.60667,0.6686,0.32308,1.60147,1.52429,0.04832,0.00128506,0.00128506,0.00128506
3,1850.27,1.5261,1.66068,0.03109,0.55328,0.59864,0.55125,0.25289,1.75529,1.71227,0.05352,0.00186388,0.00186388,0.00186388
4,2060.9,1.4751,1.49945,0.02986,0.62052,0.63667,0.62239,0.31569,1.57627,1.45794,0.04771,0.001802,0.001802,0.001802
5,2276.73,1.46112,1.47847,0.02894,0.74686,0.70167,0.75055,0.41453,1.49561,1.18494,0.04607,0.001736,0.001736,0.001736
6,2493.06,1.38682,1.33595,0.02714,0.65307,0.65,0.66079,0.36566,1.4922,1.39717,0.0452,0.00167,0.00167,0.00167
7,2713.35,1.36739,1.34444,0.02723,0.68201,0.655,0.69884,0.41452,1.43203,1.23088,0.04475,0.001604,0.001604,0.001604
8,2928.75,1.33629,1.24112,0.02627,0.78415,0.67167,0.75886,0.43996,1.35366,1.13103,0.03987,0.001538,0.001538,0.001538
9,3152.18,1.30644,1.19294,0.02562,0.75932,0.76667,0.79519,0.4921,1.28891,1.00675,0.0389,0.001472,0.001472,0.001472
10,3377.31,1.26211,1.1577,0.02448,0.78257,0.77333,0.79462,0.49846,1.22883,1.00372,0.03683,0.001406,0.001406,0.001406
11,3594.85,1.22978,1.11782,0.02381,0.83319,0.74667,0.81637,0.54064,1.17567,0.96813,0.03544,0.00134,0.00134,0.00134
12,3815.47,1.18407,1.07169,0.02286,0.77935,0.77118,0.80459,0.52248,1.16571,0.94078,0.0336,0.001274,0.001274,0.001274
13,4032.1,1.15907,1.08526,0.02242,0.834,0.79333,0.85549,0.56551,1.16627,0.81875,0.03464,0.001208,0.001208,0.001208
14,4253.73,1.13473,1.06574,0.02164,0.84864,0.78833,0.85852,0.57001,1.13655,0.80069,0.03467,0.001142,0.001142,0.001142
15,4472.06,1.12099,1.01223,0.02133,0.83722,0.79,0.86307,0.60358,1.0247,0.78441,0.02981,0.001076,0.001076,0.001076
16,4694.23,1.08358,0.96744,0.02037,0.87198,0.785,0.86623,0.61897,0.98987,0.79876,0.02822,0.00101,0.00101,0.00101
17,4914.59,1.06909,0.96038,0.02051,0.87878,0.80952,0.87166,0.62773,0.97648,0.77918,0.02787,0.000944,0.000944,0.000944
18,5132.96,1.0272,0.91901,0.01968,0.86462,0.80895,0.86752,0.63189,0.92066,0.77617,0.02579,0.000878,0.000878,0.000878
19,5346.08,1.02076,0.88514,0.01904,0.90202,0.81167,0.88522,0.64702,0.91269,0.73239,0.026,0.000812,0.000812,0.000812
20,5559.88,0.99362,0.87034,0.01851,0.89278,0.81667,0.90016,0.65372,0.91987,0.65185,0.02563,0.000746,0.000746,0.000746
21,5781.28,0.89129,0.68299,0.02267,0.89028,0.82496,0.89954,0.66544,0.89656,0.67156,0.02501,0.00068,0.00068,0.00068
22,5997.24,0.87291,0.60771,0.02219,0.90606,0.81833,0.90058,0.67132,0.89654,0.64318,0.02494,0.000614,0.000614,0.000614
23,6212.06,0.8684,0.56169,0.02208,0.89248,0.845,0.89764,0.67229,0.88405,0.66643,0.0248,0.000548,0.000548,0.000548
24,6430.47,0.829,0.54246,0.02087,0.89907,0.8314,0.89684,0.66909,0.90022,0.66628,0.02525,0.000482,0.000482,0.000482
25,6641.17,0.77734,0.51034,0.01921,0.89751,0.84653,0.90418,0.68556,0.8631,0.59542,0.02352,0.000416,0.000416,0.000416
26,6853.83,0.751,0.47158,0.01835,0.93547,0.82147,0.90518,0.69996,0.82197,0.59495,0.02255,0.00035,0.00035,0.00035
27,7069.16,0.73584,0.45886,0.01785,0.90919,0.85101,0.9162,0.7119,0.83314,0.56389,0.02297,0.000284,0.000284,0.000284
28,7285.2,0.73152,0.4438,0.01754,0.92521,0.86598,0.92673,0.72098,0.80295,0.54244,0.02198,0.000218,0.000218,0.000218
29,7501.54,0.68289,0.42876,0.01642,0.91451,0.84833,0.91659,0.71808,0.79069,0.55272,0.02156,0.000152,0.000152,0.000152
30,7724.08,0.67476,0.40573,0.01612,0.92187,0.84167,0.92319,0.7222,0.7877,0.54979,0.02151,8.6e-05,8.6e-05,8.6e-05
